Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2022:Q4,Bottom50,3474921,9317747,4717617,1791521,333826,462064,529561,163928,1319230,5842826,2944192,2549638,348996
2023:Q1,TopPt1,18693836,18880745,1731184,584131,8182100,298921,185269,4478790,3420350,186909,70217,47389,69303
2023:Q1,RemainingTop1,23101703,23840774,3992551,378275,9366299,815035,1243002,3881797,4163815,739071,350197,108141,280733
2023:Q1,Next9,50832805,54436868,13031600,1679379,13372297,6427822,5355010,5002097,9568662,3604063,2979569,491346,133148
2023:Q1,Next40,42712309,51016741,19046853,3274921,4366918,9014517,4679955,2287803,8345774,8304433,6357598,1695161,251674
2023:Q1,Bottom50,3580671,9402315,4739332,1815046,358284,464911,553851,164541,1306350,5821644,2934562,2544685,342397
2023:Q2,TopPt1,19436292,19625775,1806385,595960,8693787,298502,189210,4574944,3466988,189483,71288,48621,69574
2023:Q2,RemainingTop1,23993253,24728316,4202553,381006,9899991,822755,1285424,3940975,4195612,735062,346780,109774,278508
2023:Q2,Next9,52624662,56277436,13672968,1694386,14100756,6494910,5579320,5098090,9637006,3652774,3013889,502702,136183
2023:Q2,Next40,44390105,52766352,20280906,3314228,4570843,9066122,4873636,2319353,8341263,8376246,6400908,1723898,251440
2023:Q2,Bottom50,3670379,9527020,4797430,1839030,380960,467239,576766,164649,1300946,5856641,2955825,2556709,344107
2023:Q3,TopPt1,19078797,19270551,1822975,593650,8316881,299605,179660,4576439,3481341,191754,72380,49396,69978
2023:Q3,RemainingTop1,23631905,24366060,4246130,381820,9507192,810269,1264262,3941319,4215067,734154,343974,110988,279192
2023:Q3,Next9,52134069,55842646,13803645,1698868,13564830,6385594,5659210,5099312,9631187,3708578,3051439,510704,146435
2023:Q3,Next40,44269684,52719526,20574317,3317753,4421052,8987078,4798455,2319425,8301445,8449841,6451672,1741192,256977
2023:Q3,Bottom50,3618726,9509760,4822713,1840689,364255,463746,561453,164569,1292335,5891034,2989066,2550716,351252
2023:Q4,TopPt1,19900358,20094326,1811851,605661,9131537,296986,196474,4402042,3649775,193968,73376,50579,70013
2023:Q4,RemainingTop1,24581565,25315284,4223622,381081,10355043,837841,1338982,3836563,4342152,733719,340947,112464,280308
2023:Q4,Next9,53687259,57438526,13739520,1695268,14720800,6627335,5805417,4926419,9923767,3751267,3083943,521498,145826
2023:Q4,Next40,44920587,53441324,20354949,3329301,4743279,9159730,5114430,2264074,8475560,8520737,6493447,1769955,257335
2023:Q4,Bottom50,3645920,9577693,4776124,1849128,400368,471344,607177,164738,1308814,5931773,3011512,2569212,351049
2024:Q1,TopPt1,20741534,20936980,1879342,617141,9938511,297730,203710,4321432,3679115,195446,74305,50261,70880
2024:Q1,RemainingTop1,25683716,26416470,4412431,384068,11195016,842951,1402315,3791548,4388141,732754,336139,111313,285302
2024:Q1,Next9,55739468,59523471,14316689,1710695,15866111,6669783,6110459,4848112,10001622,3784003,3107699,514138,162166
2024:Q1,Next40,46780378,55315241,21457586,3368544,5062622,9204497,5402287,2240966,8578738,8534863,6514416,1751490,268957
2024:Q1,Bottom50,3816229,9748388,4826675,1872718,436140,473537,642069,165298,1331951,5932159,3003803,2564170,364186
2024:Q2,TopPt1,21037804,21235166,1939393,621545,10106933,298331,205423,4345231,3718310,197362,75145,50872,71345
2024:Q2,RemainingTop1,26092128,26824830,4579682,386015,11371355,844944,1420427,3808440,4413966,732701,335146,112310,285245
2024:Q2,Next9,56654588,60481678,14824765,1720614,16107280,6685751,6207530,4872930,10062808,3827091,3137651,520280,169160
2024:Q2,Next40,47934840,56533575,22469913,3389560,5130640,9225192,5484870,2250407,8582993,8598735,6560011,1766358,272366
2024:Q2,Bottom50,3857291,9823989,4875692,1885016,443600,474591,651697,165643,1327750,5966698,3030148,2567013,369537
2024:Q3,TopPt1,22128223,22326521,1932577,626711,11008231,298361,211716,4374748,3874176,198298,75787,51142,71369
2024:Q3,RemainingTop1,27195449,27928003,4559121,388145,12304968,850249,1474094,3828063,4523363,732554,335706,112569,284279
2024:Q3,Next9,58453021,62309344,14764060,1731802,17377056,6731247,6462946,4903085,10339148,3856323,3163746,522717,169860
2024:Q3,Next40,48591064,57247311,22335373,3413620,5481275,9263961,5731585,2261152,8760346,8656247,6605142,1778726,272379
2024:Q3,Bottom50,3898990,9931156,4876459,1899233,483577,476394,681706,165883,1347904,6032165,3062591,2599127,370447
2024:Q4,TopPt1,22139360,22337914,1919343,634150,11047971,298630,212273,4375851,3849696,198555,77131,50297,71127
2024:Q4,RemainingTop1,27318097,28002099,4517487,392858,12347342,852973,1473514,3830391,4587533,684002,330484,110903,242615
2024:Q4,Next9,58343457,62224867,14638175,1757075,17435547,6754120,6445040,4904965,10289946,3881410,3204372,511261,165777
2024:Q4,Next40,48537718,57175482,22100191,3462130,5498342,9286499,5725773,2262713,8839834,8637764,6651962,1745922,239880
2024:Q4,Bottom50,4006844,10005375,4886012,1927590,485333,477482,681461,166118,1381379,5998531,3079473,2570492,348566
